"","Mean","Median","Mode","ESS","HDImass","HDIlow","HDIhigh","CompVal","PcntGtCompVal","ROPElow","ROPEhigh","PcntLtROPE","PcntInROPE","PcntGtROPE"
"b[110] Middle Village",-0.0423380437660928,-0.0425831,-0.0376176857440967,997481,0.95,-0.257269,0.176738,NA,NA,NA,NA,NA,NA,NA
"b[111] Midtown",0.648354124063008,0.648318,0.651070277110729,852807.7,0.95,0.567291,0.729339,NA,NA,NA,NA,NA,NA,NA
"b[112] Midwood",-0.291006255106315,-0.291644,-0.292993747524547,1000008,0.95,-0.445337,-0.135013,NA,NA,NA,NA,NA,NA,NA
"b[113] Mill Basin",-0.0163600202487637,-0.01763935,-0.0234605390404046,1000008,0.95,-0.418112,0.393966,NA,NA,NA,NA,NA,NA,NA
"b[114] Morningside Heights",0.00883291625516297,0.00877383,0.00931733977661861,951898.1,0.95,-0.0924101,0.112203,NA,NA,NA,NA,NA,NA,NA
"b[115] Morris Park",-0.449590795768816,-0.451557,-0.44571014393458,996142,0.95,-0.878667,-0.0185437,NA,NA,NA,NA,NA,NA,NA
"b[116] Morrisania",-0.00633571186704278,-0.00529021,-0.0211370548574503,995493.6,0.95,-0.408595,0.397799,NA,NA,NA,NA,NA,NA,NA
"b[117] Mott Haven",-0.196118438508214,-0.1958205,-0.193151557002295,1000008,0.95,-0.427719,0.0360356,NA,NA,NA,NA,NA,NA,NA
"b[118] Mount Hope",-0.293817934923917,-0.294797,-0.300684706261462,1000008,0.95,-0.611792,0.0244165,NA,NA,NA,NA,NA,NA,NA
"b[119] Murray Hill",0.602153859870121,0.602168,0.602447308395821,895738.5,0.95,0.518684,0.685988,NA,NA,NA,NA,NA,NA,NA
"b[120] Navy Yard",0.254939524294943,0.2579145,0.258736197128081,990155.5,0.95,-0.0208731,0.527937,NA,NA,NA,NA,NA,NA,NA
"b[121] Neponsit",0.0969438474348888,0.09945235,0.0972016429763065,1000008,0.95,-0.358452,0.546651,NA,NA,NA,NA,NA,NA,NA
"b[122] NoHo",0.664655444424445,0.665559,0.669489747092,993775.4,0.95,0.463062,0.863789,NA,NA,NA,NA,NA,NA,NA
"b[123] Nolita",0.666284142135863,0.666571,0.664863515942496,982246.7,0.95,0.553424,0.77926,NA,NA,NA,NA,NA,NA,NA
"b[124] Norwood",-0.17179679444279,-0.171711,-0.173644172618041,1000008,0.95,-0.573487,0.224219,NA,NA,NA,NA,NA,NA,NA
"b[125] Oakwood",-0.118576085145186,-0.1167205,-0.114116616260577,988922.1,0.95,-0.539538,0.295527,NA,NA,NA,NA,NA,NA,NA
"b[126] Ozone Park",-0.163942134843485,-0.1635905,-0.156352492121924,1000008,0.95,-0.437223,0.104463,NA,NA,NA,NA,NA,NA,NA
"b[127] Park Slope",0.259265766771366,0.259324,0.261709539067654,825516.4,0.95,0.187833,0.330487,NA,NA,NA,NA,NA,NA,NA
"b[128] Parkchester",0.0215231775999553,0.02408765,0.0251467138544912,985829.9,0.95,-0.441939,0.48152,NA,NA,NA,NA,NA,NA,NA
"b[129] Pelham Bay",0.14798803527157,0.150723,0.161539542023026,1000008,0.95,-0.198123,0.479186,NA,NA,NA,NA,NA,NA,NA
"b[130] Pelham Gardens",-0.274832374492501,-0.276583,-0.284047513960255,1000008,0.95,-0.563912,0.0180576,NA,NA,NA,NA,NA,NA,NA
"b[131] Port Morris",-0.156669988491178,-0.1566735,-0.161447329879897,1000008,0.95,-0.460074,0.146559,NA,NA,NA,NA,NA,NA,NA
"b[132] Port Richmond",-0.399952238501398,-0.405093,-0.414632831164717,985872.2,0.95,-0.778968,-0.0128226,NA,NA,NA,NA,NA,NA,NA
"b[133] Prospect-Lefferts Gardens",-0.197789359352015,-0.197917,-0.196365775210848,918957.6,0.95,-0.280073,-0.114928,NA,NA,NA,NA,NA,NA,NA
"b[134] Prospect Heights",0.168913199836425,0.1690225,0.169524384719895,874470.9,0.95,0.0899376,0.248344,NA,NA,NA,NA,NA,NA,NA
"b[135] Queens Village",-0.334032424296124,-0.334605,-0.329353384789065,1000008,0.95,-0.548138,-0.121849,NA,NA,NA,NA,NA,NA,NA
"b[136] Randall Manor",-0.247386228530244,-0.2483735,-0.254040461974844,991255.2,0.95,-0.627875,0.137523,NA,NA,NA,NA,NA,NA,NA
"b[137] Red Hook",0.168870790114744,0.170032,0.17816134564101,1000008,0.95,-0.0343016,0.36727,NA,NA,NA,NA,NA,NA,NA
"b[138] Rego Park",-0.174632489446286,-0.1750285,-0.181187545653654,1009478.3,0.95,-0.46247,0.114279,NA,NA,NA,NA,NA,NA,NA
"b[139] Richmond Hill",-0.373113134912648,-0.374517,-0.381557001081486,1000008,0.95,-0.618595,-0.124424,NA,NA,NA,NA,NA,NA,NA
"b[140] Richmondtown",-0.189011117479035,-0.1897705,-0.189923044384545,989424.6,0.95,-0.602257,0.223446,NA,NA,NA,NA,NA,NA,NA
"b[141] Ridgewood",-0.247901005360089,-0.248062,-0.243812679608183,987529.1,0.95,-0.355653,-0.140021,NA,NA,NA,NA,NA,NA,NA
"b[142] Riverdale",-0.15653550986131,-0.156129,-0.158924906138414,1000008,0.95,-0.56459,0.249241,NA,NA,NA,NA,NA,NA,NA
"b[143] Rockaway Beach",-0.0472366240055043,-0.04717315,-0.0475470297349894,1000008,0.95,-0.25471,0.156372,NA,NA,NA,NA,NA,NA,NA
"b[144] Roosevelt Island",-0.0988060165110343,-0.1034065,-0.107446344009394,967231.9,0.95,-0.421032,0.231649,NA,NA,NA,NA,NA,NA,NA
"b[145] Rosedale",-0.0260403561728295,-0.02535345,-0.029272040264447,991271.5,0.95,-0.29045,0.233103,NA,NA,NA,NA,NA,NA,NA
