"","Mean","Median","Mode","ESS","HDImass","HDIlow","HDIhigh","CompVal","PcntGtCompVal","ROPElow","ROPEhigh","PcntLtROPE","PcntInROPE","PcntGtROPE"
"ySigma[178] Sunnyside",0.535110443530452,0.533358,0.531122609548796,920326.2,0.95,0.460103,0.613762,NA,NA,NA,NA,NA,NA,NA
"ySigma[179] Sunset Park",0.430098180115559,0.428956,0.426932705020303,996948.2,0.95,0.374627,0.486618,NA,NA,NA,NA,NA,NA,NA
"ySigma[180] Theater District",0.465576145456836,0.46394,0.460736155947782,988470.8,0.95,0.398535,0.53553,NA,NA,NA,NA,NA,NA,NA
"ySigma[181] Throgs Neck",0.422820885593915,0.420059,0.415077378535184,991615.2,0.95,0.313959,0.535241,NA,NA,NA,NA,NA,NA,NA
"ySigma[182] Todt Hill",0.421501385128919,0.418917,0.416281865476358,986648.8,0.95,0.307606,0.539519,NA,NA,NA,NA,NA,NA,NA
"ySigma[183] Tompkinsville",0.424387259311926,0.421568,0.417273805644762,990669.7,0.95,0.312751,0.539851,NA,NA,NA,NA,NA,NA,NA
"ySigma[184] Tottenville",0.419060820588435,0.416558,0.409846215802641,993517.3,0.95,0.305582,0.537553,NA,NA,NA,NA,NA,NA,NA
"ySigma[185] Tremont",0.44782934254426,0.444789,0.438070334969983,981735,0.95,0.341335,0.560684,NA,NA,NA,NA,NA,NA,NA
"ySigma[186] Tribeca",0.532916009596923,0.530327,0.524893598033497,917826.9,0.95,0.444786,0.624453,NA,NA,NA,NA,NA,NA,NA
"ySigma[187] Two Bridges",0.434024851471188,0.4315075,0.42736332736165,1001549.9,0.95,0.340706,0.530363,NA,NA,NA,NA,NA,NA,NA
"ySigma[188] University Heights",0.437295841666267,0.434226,0.426165480230093,993647.5,0.95,0.327058,0.553294,NA,NA,NA,NA,NA,NA,NA
"ySigma[189] Upper East Side",0.408986759786922,0.408594,0.407516127186975,993487.7,0.95,0.377588,0.440451,NA,NA,NA,NA,NA,NA,NA
"ySigma[190] Upper West Side",0.513779682780538,0.513407,0.512421116955268,973821.1,0.95,0.479906,0.548236,NA,NA,NA,NA,NA,NA,NA
"ySigma[191] Van Nest",0.449231819468444,0.446044,0.43788604802442,998928.2,0.95,0.337442,0.567314,NA,NA,NA,NA,NA,NA,NA
"ySigma[192] Vinegar Hill",0.422019237436101,0.419478,0.414575851947386,993465,0.95,0.323373,0.525183,NA,NA,NA,NA,NA,NA,NA
"ySigma[193] Wakefield",0.387333108991128,0.385233,0.379352197748829,970420.9,0.95,0.293596,0.482958,NA,NA,NA,NA,NA,NA,NA
"ySigma[194] Washington Heights",0.451037061709506,0.450422,0.450048866334372,991165.8,0.95,0.41051,0.492569,NA,NA,NA,NA,NA,NA,NA
"ySigma[195] West Brighton",0.431876604122167,0.429145,0.427106849569558,993797.1,0.95,0.325035,0.540842,NA,NA,NA,NA,NA,NA,NA
"ySigma[196] West Village",0.449450708615331,0.448582,0.445623848249921,986207.2,0.95,0.401038,0.49932,NA,NA,NA,NA,NA,NA,NA
"ySigma[197] Westchester Square",0.412442029673763,0.410084,0.40783737972554,992415.7,0.95,0.29995,0.529288,NA,NA,NA,NA,NA,NA,NA
"ySigma[198] Whitestone",0.434417281623747,0.431597,0.428461993460434,986690.9,0.95,0.324319,0.547997,NA,NA,NA,NA,NA,NA,NA
"ySigma[199] Williamsbridge",0.413913255968952,0.41147,0.408032756967224,993176.4,0.95,0.317277,0.513425,NA,NA,NA,NA,NA,NA,NA
"ySigma[200] Williamsburg",0.470727021997824,0.470558,0.469874741387519,985226.6,0.95,0.449315,0.492937,NA,NA,NA,NA,NA,NA,NA
"ySigma[201] Willowbrook",0.419399965614275,0.416899,0.410651823564405,989828.9,0.95,0.304772,0.53654,NA,NA,NA,NA,NA,NA,NA
"ySigma[202] Windsor Terrace",0.377389367596059,0.375806,0.374457732830585,976434.1,0.95,0.309885,0.446511,NA,NA,NA,NA,NA,NA,NA
"ySigma[203] Woodhaven",0.383075905334757,0.381163,0.378625679427987,978477.7,0.95,0.305422,0.464307,NA,NA,NA,NA,NA,NA,NA
"ySigma[204] Woodlawn",0.433252319713442,0.43038,0.423889175907959,987653.9,0.95,0.321114,0.551753,NA,NA,NA,NA,NA,NA,NA
"ySigma[205] Woodside",0.65060455370357,0.648442,0.645653696895728,813659.3,0.95,0.561119,0.743557,NA,NA,NA,NA,NA,NA,NA
