"","Mean","Median","Mode","ESS","HDImass","HDIlow","HDIhigh","CompVal","PcntGtCompVal","ROPElow","ROPEhigh","PcntLtROPE","PcntInROPE","PcntGtROPE"
"ySigma[111] Longwood",0.447513465925273,0.444876,0.438783009561801,986134.7,0.95,0.354852,0.543921,NA,NA,NA,NA,NA,NA,NA
"ySigma[112] Lower East Side",0.446927831930345,0.446266,0.444699139019607,984383.1,0.95,0.404884,0.490428,NA,NA,NA,NA,NA,NA,NA
"ySigma[113] Manhattan Beach",0.425711706404349,0.423033,0.421455874127005,991311.7,0.95,0.315854,0.539464,NA,NA,NA,NA,NA,NA,NA
"ySigma[114] Marble Hill",0.409698636334909,0.4072015,0.399887605943881,987290.5,0.95,0.302886,0.520725,NA,NA,NA,NA,NA,NA,NA
"ySigma[115] Mariners Harbor",0.405480834245326,0.40319,0.396632366570325,988571.3,0.95,0.294185,0.520646,NA,NA,NA,NA,NA,NA,NA
"ySigma[116] Maspeth",0.401846601149191,0.399712,0.396989569389052,993986.5,0.95,0.317886,0.490009,NA,NA,NA,NA,NA,NA,NA
"ySigma[117] Melrose",0.410653821967424,0.4081905,0.403570039074659,990758.3,0.95,0.301331,0.525511,NA,NA,NA,NA,NA,NA,NA
"ySigma[118] Middle Village",0.397572992697058,0.3954055,0.391303345954555,981312.4,0.95,0.294709,0.502899,NA,NA,NA,NA,NA,NA,NA
"ySigma[119] Midland Beach",0.4151378874929,0.412494,0.406008690503085,994031.4,0.95,0.304463,0.531116,NA,NA,NA,NA,NA,NA,NA
"ySigma[120] Midtown",0.548330909277726,0.5476425,0.546245516290185,957550.5,0.95,0.500842,0.595988,NA,NA,NA,NA,NA,NA,NA
"ySigma[121] Midwood",0.38202526373389,0.38015,0.378912577489398,969477.5,0.95,0.301642,0.465147,NA,NA,NA,NA,NA,NA,NA
"ySigma[122] Mill Basin",0.419658070956432,0.4170645,0.415795305033375,1001466.8,0.95,0.305177,0.538426,NA,NA,NA,NA,NA,NA,NA
"ySigma[123] Morningside Heights",0.399744114066087,0.398622,0.397961383458256,1000008,0.95,0.347673,0.453159,NA,NA,NA,NA,NA,NA,NA
"ySigma[124] Morris Heights",0.433223615626075,0.4301995,0.424905254157771,988525.2,0.95,0.323813,0.547716,NA,NA,NA,NA,NA,NA,NA
"ySigma[125] Morris Park",0.427549520394837,0.424921,0.422150180707564,996166.3,0.95,0.322199,0.537758,NA,NA,NA,NA,NA,NA,NA
"ySigma[126] Morrisania",0.456922024801802,0.453764,0.447203960704056,980066.3,0.95,0.349115,0.569567,NA,NA,NA,NA,NA,NA,NA
"ySigma[127] Mott Haven",0.407326173868609,0.405,0.402478568441619,990919.1,0.95,0.316538,0.502321,NA,NA,NA,NA,NA,NA,NA
"ySigma[128] Mount Eden",0.421511380692954,0.418847,0.408688872656285,994825.3,0.95,0.307424,0.540615,NA,NA,NA,NA,NA,NA,NA
"ySigma[129] Mount Hope",0.420322582220342,0.417661,0.412142028321259,994407.2,0.95,0.318442,0.528224,NA,NA,NA,NA,NA,NA,NA
