"","Mean","Median","Mode","ESS","HDImass","HDIlow","HDIhigh","CompVal","PcntGtCompVal","ROPElow","ROPEhigh","PcntLtROPE","PcntInROPE","PcntGtROPE"
"b[181] Throgs Neck",-0.149956244717971,-0.148677,-0.151906581854612,1000008,0.95,-0.489997,0.18839,NA,NA,NA,NA,NA,NA,NA
"b[182] Todt Hill",-0.207549994776156,-0.21032,-0.226068939617103,1000008,0.95,-0.643839,0.233768,NA,NA,NA,NA,NA,NA,NA
"b[183] Tompkinsville",-0.122814183715531,-0.123003,-0.122857139254466,1000008,0.95,-0.524423,0.280265,NA,NA,NA,NA,NA,NA,NA
"b[184] Tottenville",-0.0999148559470125,-0.09947595,-0.103655633982267,996549.9,0.95,-0.532956,0.32943,NA,NA,NA,NA,NA,NA,NA
"b[185] Tremont",-0.43144298839971,-0.4337525,-0.4316028061551,1000008,0.95,-0.759407,-0.0957661,NA,NA,NA,NA,NA,NA,NA
"b[186] Tribeca",0.902678296875625,0.902768,0.904544320911942,997043.7,0.95,0.736458,1.067,NA,NA,NA,NA,NA,NA,NA
"b[187] Two Bridges",0.263273192505363,0.262921,0.262431462535653,1000008,0.95,0.0619414,0.46696,NA,NA,NA,NA,NA,NA,NA
"b[188] University Heights",-0.21719487786991,-0.217271,-0.227495562587465,996951.7,0.95,-0.647347,0.207743,NA,NA,NA,NA,NA,NA,NA
"b[189] Upper East Side",0.528357500447996,0.528333,0.529356919575204,902062.4,0.95,0.478288,0.577292,NA,NA,NA,NA,NA,NA,NA
"b[190] Upper West Side",0.558888757725938,0.55891,0.560151080942652,896810.3,0.95,0.507841,0.610153,NA,NA,NA,NA,NA,NA,NA
"b[191] Van Nest",-0.144570154819705,-0.1465955,-0.145680269780461,1000008,0.95,-0.539531,0.252264,NA,NA,NA,NA,NA,NA,NA
"b[192] Vinegar Hill",0.417060607720217,0.4185075,0.417994857003287,995065.5,0.95,0.178189,0.652878,NA,NA,NA,NA,NA,NA,NA
"b[193] Wakefield",-0.338238456666913,-0.338753,-0.346339204744688,1000008,0.95,-0.522031,-0.154247,NA,NA,NA,NA,NA,NA,NA
"b[194] Washington Heights",-0.0952651519789056,-0.09532405,-0.0948069770193399,992897.6,0.95,-0.157716,-0.032753,NA,NA,NA,NA,NA,NA,NA
"b[195] West Brighton",-0.190766035300392,-0.1920115,-0.189725594052675,995736,0.95,-0.483949,0.103569,NA,NA,NA,NA,NA,NA,NA
"b[196] West Village",0.938715617913057,0.938657,0.936678577888457,995486.8,0.95,0.867054,1.01012,NA,NA,NA,NA,NA,NA,NA
"b[197] Westchester Square",-0.19816693993557,-0.197298,-0.20002209693584,1000008,0.95,-0.575484,0.17396,NA,NA,NA,NA,NA,NA,NA
"b[198] Whitestone",-0.0909233394726244,-0.09192955,-0.0939831530177004,1000008,0.95,-0.470139,0.292989,NA,NA,NA,NA,NA,NA,NA
"b[199] Williamsbridge",-0.340782909528561,-0.341752,-0.341650219773078,997278.8,0.95,-0.557672,-0.124638,NA,NA,NA,NA,NA,NA,NA
"b[200] Williamsburg",0.244602397836817,0.244607,0.245689794838124,792165.6,0.95,0.205705,0.283077,NA,NA,NA,NA,NA,NA,NA
"b[201] Willowbrook",-0.151894609736358,-0.152806,-0.14833990977496,995052.4,0.95,-0.583147,0.279132,NA,NA,NA,NA,NA,NA,NA
"b[202] Windsor Terrace",0.178571607386178,0.178721,0.178239609644486,1000008,0.95,0.0669183,0.289177,NA,NA,NA,NA,NA,NA,NA
"b[203] Woodhaven",-0.36878784002473,-0.369305,-0.372547894173097,1000008,0.95,-0.503894,-0.233782,NA,NA,NA,NA,NA,NA,NA
"b[204] Woodlawn",-0.695130457247609,-0.699727,-0.718123832351408,1000008,0.95,-1.05975,-0.327871,NA,NA,NA,NA,NA,NA,NA
"b[205] Woodside",-0.507984302359581,-0.507591,-0.507676097491295,994799.7,0.95,-0.646257,-0.368371,NA,NA,NA,NA,NA,NA,NA
"aMet",0.46450078994868,0.464494,0.464636381987112,995620.3,0.95,0.4514,0.477454,NA,NA,NA,NA,NA,NA,NA
"aSigma",0.254282000500996,0.253579,0.251935508271139,972284.2,0.95,0.222288,0.287447,NA,NA,NA,NA,NA,NA,NA
"ySigma[1] Allerton",0.414659155197758,0.412314,0.408356115693209,994662.8,0.95,0.321065,0.511249,NA,NA,NA,NA,NA,NA,NA
"ySigma[2] Arden Heights",0.419775225117199,0.417143,0.409887767987652,992873.3,0.95,0.306445,0.538207,NA,NA,NA,NA,NA,NA,NA
"ySigma[3] Arrochar",0.420639480439156,0.4180125,0.413391054744025,995724.7,0.95,0.312278,0.533519,NA,NA,NA,NA,NA,NA,NA
"ySigma[4] Arverne",0.428236050856593,0.426084,0.423836260648236,992958.8,0.95,0.345861,0.515462,NA,NA,NA,NA,NA,NA,NA
"ySigma[5] Astoria",0.430131068019456,0.429524,0.428485704618626,994915.4,0.95,0.390118,0.470778,NA,NA,NA,NA,NA,NA,NA
"ySigma[6] Bath Beach",0.413392784254726,0.410863,0.408822110011926,986220.1,0.95,0.307858,0.523015,NA,NA,NA,NA,NA,NA,NA
"ySigma[7] Battery Park City",0.450801356478148,0.448295,0.441763867431081,991770.5,0.95,0.362897,0.5433,NA,NA,NA,NA,NA,NA,NA
"ySigma[8] Bay Ridge",0.501947027661779,0.499149,0.494395176780411,936679.7,0.95,0.409607,0.599471,NA,NA,NA,NA,NA,NA,NA
"ySigma[9] Bay Terrace",0.413037462271302,0.410622,0.407774941543436,987787.5,0.95,0.304949,0.526602,NA,NA,NA,NA,NA,NA,NA
"ySigma[10] Bay Terrace, Staten Island",0.419731837414301,0.417199,0.414650980301639,994461.7,0.95,0.306654,0.538278,NA,NA,NA,NA,NA,NA,NA
"ySigma[11] Baychester",0.40680177002384,0.404511,0.401912366491717,986394.3,0.95,0.296709,0.520064,NA,NA,NA,NA,NA,NA,NA
"ySigma[12] Bayside",0.463014102327181,0.4598325,0.455260854603746,976595.6,0.95,0.361732,0.568905,NA,NA,NA,NA,NA,NA,NA
"ySigma[13] Bayswater",0.463196535071719,0.4597495,0.457294063544364,965617.9,0.95,0.350071,0.581148,NA,NA,NA,NA,NA,NA,NA
"ySigma[14] Bedford-Stuyvesant",0.434184073349413,0.434003,0.433457840839446,991152.5,0.95,0.413428,0.455253,NA,NA,NA,NA,NA,NA,NA
"ySigma[15] Belle Harbor",0.428999398006816,0.426251,0.424308846810287,994935.2,0.95,0.314493,0.546954,NA,NA,NA,NA,NA,NA,NA
"ySigma[16] Bellerose",0.41682497379421,0.414304,0.408500327261788,990808.9,0.95,0.304687,0.532991,NA,NA,NA,NA,NA,NA,NA
"ySigma[17] Belmont",0.421455141559868,0.418871,0.416135930045548,978156.6,0.95,0.308574,0.538979,NA,NA,NA,NA,NA,NA,NA
"ySigma[18] Bensonhurst",0.416735203096375,0.414554,0.407513551919526,1000426.6,0.95,0.33439,0.503205,NA,NA,NA,NA,NA,NA,NA
"ySigma[19] Bergen Beach",0.412522516107871,0.410093,0.403540168323878,990541.3,0.95,0.299471,0.529462,NA,NA,NA,NA,NA,NA,NA
"ySigma[20] Boerum Hill",0.390388789726682,0.388785,0.386680723200354,991461.1,0.95,0.32229,0.460447,NA,NA,NA,NA,NA,NA,NA
"ySigma[21] Borough Park",0.363996788140695,0.3622765,0.361715483139618,959633.1,0.95,0.286281,0.445163,NA,NA,NA,NA,NA,NA,NA
"ySigma[22] Briarwood",0.38261875751994,0.380567,0.376967344460648,968386.3,0.95,0.283999,0.484408,NA,NA,NA,NA,NA,NA,NA
"ySigma[23] Brighton Beach",0.431059952232382,0.428436,0.426450748748784,995299.3,0.95,0.336207,0.530852,NA,NA,NA,NA,NA,NA,NA
"ySigma[24] Bronxdale",0.399373526100791,0.397191,0.396937795673036,974263.9,0.95,0.296813,0.505112,NA,NA,NA,NA,NA,NA,NA
"ySigma[25] Brooklyn Heights",0.404731159182727,0.402796,0.399967988832388,1000282.8,0.95,0.327809,0.485875,NA,NA,NA,NA,NA,NA,NA
"ySigma[26] Brownsville",0.375605384671923,0.373639,0.368163649777643,963438.4,0.95,0.294193,0.461242,NA,NA,NA,NA,NA,NA,NA
"ySigma[27] Bushwick",0.384403625473996,0.384162,0.384071729794666,987946.4,0.95,0.360897,0.407953,NA,NA,NA,NA,NA,NA,NA
"ySigma[28] Cambria Heights",0.427588368352053,0.424882,0.423793474491728,1000008,0.95,0.327325,0.532992,NA,NA,NA,NA,NA,NA,NA
"ySigma[29] Canarsie",0.383504480363157,0.381833,0.379362126022738,966963.8,0.95,0.317367,0.453148,NA,NA,NA,NA,NA,NA,NA
"ySigma[30] Carroll Gardens",0.371291019315845,0.370129,0.365918254046757,987471.9,0.95,0.316135,0.427473,NA,NA,NA,NA,NA,NA,NA
"ySigma[31] Castleton Corners",0.447087911059712,0.4439075,0.435881299718356,983799.4,0.95,0.335026,0.564851,NA,NA,NA,NA,NA,NA,NA
"ySigma[32] Chelsea",0.483249604895161,0.482628,0.481243360087033,980532.6,0.95,0.441372,0.527114,NA,NA,NA,NA,NA,NA,NA
"ySigma[33] Chinatown",0.382182627289982,0.380997,0.378131323558475,984954.6,0.95,0.32744,0.438922,NA,NA,NA,NA,NA,NA,NA
"ySigma[34] City Island",0.411484610650115,0.40907,0.405554578943938,991929.1,0.95,0.301997,0.525561,NA,NA,NA,NA,NA,NA,NA
